City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
240,Severo-Yeniseyskiy,RU,60.3725,93.0408,9.82,98,100,1.16,overcast clouds
241,Sumbe,AO,-11.2061,13.8437,77.02,89,79,4.63,broken clouds
242,Vestmannaeyjar,IS,63.4427,-20.2734,37.94,64,100,27.22,overcast clouds
243,Khanpur,PK,28.6453,70.6567,59.72,36,0,6.93,clear sky
244,San Cristobal,VE,7.7669,-72.225,75.38,78,60,1.25,broken clouds
245,Lewiston,US,44.1003,-70.2148,54.25,98,90,11.5,overcast clouds
246,Baoqing,CN,46.3317,132.2111,16.52,91,10,5.06,clear sky
247,Amahai,ID,-3.3333,128.9167,81.91,79,100,2.15,overcast clouds
248,Saint-Pierre,RE,-21.3393,55.4781,74.88,75,75,4.61,broken clouds
249,Council Bluffs,US,41.2619,-95.8608,23.65,49,75,6.91,broken clouds
250,Iralaya,HN,15,-83.2333,82.49,88,6,9.78,clear sky
251,Bonthe,SL,7.5264,-12.505,80.11,82,29,4.72,scattered clouds
252,Jasper,US,37.2001,-94.3502,37.54,50,19,5.82,few clouds
253,Shanghai,CN,31.2222,121.4581,52.93,75,0,8.95,clear sky
254,Porto Belo,BR,-27.1578,-48.5531,71.55,85,80,13.31,light rain
255,Beringovskiy,RU,63.05,179.3167,-4.41,84,83,9.15,broken clouds
256,Manggar,ID,-2.8833,108.2667,76.42,94,100,8.48,light rain
257,Adre,TD,13.4667,22.2,68.45,19,3,8.46,clear sky
258,Bengkulu,ID,-3.8004,102.2655,75.43,89,100,3.89,light rain
259,Ostrovnoy,RU,68.0531,39.5131,15.33,85,98,20.13,overcast clouds
260,Plouzane,FR,48.3833,-4.6167,46.45,87,0,5.75,clear sky
261,West Bay,KY,19.3667,-81.4167,82.47,85,20,1.99,few clouds
262,Hamilton,US,39.1834,-84.5333,35.6,65,14,1.99,few clouds
263,Salalah,OM,17.0151,54.0924,70.52,35,0,6.08,clear sky
264,Ponta Delgada,PT,37.7333,-25.6667,64.51,63,75,9.22,broken clouds
265,Ouadda,CF,8.0777,22.4007,72.59,30,49,3.83,scattered clouds
266,Tanda,IN,26.55,82.65,62.51,63,5,7.36,clear sky
267,Aswan,EG,24.0934,32.907,61.9,59,0,9.22,clear sky
268,Natchez,US,31.5604,-91.4032,52.25,93,90,11.5,overcast clouds
269,Faya,SA,18.3851,42.4509,50.52,29,0,2.28,clear sky
270,Onoda,JP,34.0014,131.1836,48.18,87,0,2.3,clear sky
271,Vardo,NO,70.3705,31.1107,23.83,79,95,14.97,overcast clouds
272,Jiwani,PK,25.05,61.7417,72.73,58,0,4.92,clear sky
273,Paamiut,GL,61.994,-49.6678,19.09,76,100,7.85,light snow
274,Kargasok,RU,59.0556,80.8572,7.14,96,100,6.35,light snow
275,Malakal,SS,9.5334,31.6605,78.4,28,17,4.54,few clouds
276,Marsa Matruh,EG,31.3525,27.2453,57.4,67,40,11.5,scattered clouds
277,Carnarvon,AU,-24.8667,113.6333,75.27,78,90,11.5,overcast clouds
278,Imeni Poliny Osipenko,RU,52.4201,136.4853,-6.02,89,1,4.18,clear sky
279,Mehamn,NO,71.0357,27.8492,23.63,91,99,9.71,overcast clouds
280,Mozelos,PT,41.8677,-8.3978,55.02,98,100,4.12,overcast clouds
281,Redlands,US,34.0556,-117.1825,75.27,35,73,4.23,broken clouds
282,Fairbanks,US,64.8378,-147.7164,25.14,86,100,3.78,overcast clouds
283,Sola,VU,-13.8833,167.55,76.71,85,100,4.38,light rain
284,Mayo,US,38.8876,-76.5119,65.28,83,100,24.34,light rain
285,Faanui,PF,-16.4833,-151.75,80.92,77,98,16.75,light rain
286,Flinders,AU,-34.5833,150.8552,80.06,70,33,5.99,scattered clouds
287,Odweyne,SO,9.4092,45.064,63.43,36,12,5.66,few clouds
288,Ascension,US,30.2169,-90.9001,66.2,96,90,0,heavy intensity rain
289,Ochakiv,UA,46.6128,31.5498,53.74,91,100,18.97,overcast clouds
290,Constitucion,CL,-35.3333,-72.4167,57.43,85,66,9.78,broken clouds
291,Laguna,US,38.421,-121.4238,53.2,90,90,1.01,overcast clouds
292,Choix,MX,26.7092,-108.3219,74.7,34,0,1.39,clear sky
293,Hambantota,LK,6.1241,81.1185,76.06,88,31,7.92,scattered clouds
294,Goderich,CA,43.7501,-81.7165,34.92,75,100,28.77,overcast clouds
295,Wardha,IN,20.75,78.6167,68.32,65,0,8.21,clear sky
296,Innisfail,AU,-17.5333,146.0333,90.88,69,27,9.08,scattered clouds
297,Naryan-Mar,RU,67.6713,53.087,11.08,96,93,5.35,overcast clouds
298,Ossora,RU,59.2353,163.0719,14.9,88,100,5.1,overcast clouds
299,Pochinki,RU,54.6988,44.8668,24.21,92,96,9.48,overcast clouds
300,Oxford,GB,51.7522,-1.256,38.21,90,35,1.01,scattered clouds
301,Shubarshi,KZ,48.5872,57.1869,32.52,99,100,2.55,light snow
302,Chuy,UY,-33.6971,-53.4616,62.65,89,3,7.16,clear sky
303,Caluquembe,AO,-13.7833,14.6833,59.9,94,80,2.86,broken clouds
304,Luanda,AO,-8.8368,13.2343,75.2,88,40,3.44,scattered clouds
305,Bubaque,GW,11.2833,-15.8333,81.68,75,52,10.18,broken clouds
306,Mackay,AU,-21.15,149.2,85.68,61,40,16.11,scattered clouds
307,Seoni,IN,22.0833,79.5333,58.23,79,0,8.79,clear sky
308,Zhanaozen,KZ,43.3,52.8,38.68,70,9,1.1,clear sky
309,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,78.78,60,69,5.37,broken clouds
310,Vila Velha,BR,-20.3297,-40.2925,71.55,97,75,1.01,broken clouds
311,Saint-Augustin,CA,51.226,-58.6502,24.53,93,100,13.96,snow
312,Hirara,JP,24.8,125.2833,71.87,68,40,11.5,scattered clouds
313,Yumen,CN,40.2833,97.2,25.86,48,100,7.9,overcast clouds
314,Luocheng,CN,29.3848,104.0286,49.55,89,100,2.13,overcast clouds
315,Songjianghe,CN,42.1859,127.479,17.69,79,32,3.18,scattered clouds
316,Klaksvik,FO,62.2266,-6.589,41.92,75,64,34.94,broken clouds
317,College,US,64.8569,-147.8028,25.12,68,90,3.44,overcast clouds
318,Bull Savanna,JM,17.8868,-77.5902,76.21,84,3,10.51,clear sky
319,Nouadhibou,MR,20.931,-17.0347,69.78,26,94,12.66,overcast clouds
320,Hobyo,SO,5.3505,48.5268,78.17,73,21,13.51,few clouds
321,Yerofey Pavlovich,RU,53.9667,121.9667,1.02,96,100,1.39,overcast clouds
322,Van,TR,38.4924,43.3831,33.13,58,6,5.1,clear sky
323,Finschhafen,PG,-6.6024,147.8681,86.02,68,91,7.54,overcast clouds
324,Labuan,MY,5.2767,115.2417,79.16,83,20,1.99,few clouds
325,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,74.17,98,100,2.91,overcast clouds
326,Fremont,US,37.5483,-121.9886,56.64,86,90,1.01,mist
327,Impfondo,CG,1.6381,18.0667,72.61,89,40,1.01,scattered clouds
328,Aklavik,CA,68.2191,-135.0107,18.32,85,75,4.61,broken clouds
329,Eureka,US,40.8021,-124.1637,51.93,79,100,1.59,light rain
330,Chupa,RU,66.27,33.0549,-1.12,97,66,3.76,broken clouds
331,Nemuro,JP,43.3236,145.575,43.23,75,1,9.35,clear sky
332,Sitka,US,57.0531,-135.33,33.73,81,100,2.13,overcast clouds
333,Dhidhdhoo,MV,6.8833,73.1,82.51,75,35,12.8,scattered clouds
334,Hami,CN,42.8,93.45,28.08,55,99,9.6,overcast clouds
335,Urucui,BR,-7.2294,-44.5561,81.09,67,100,2.51,overcast clouds
336,Kokkola,FI,63.8385,23.1307,9.03,90,20,4.61,light shower snow
337,Itupiranga,BR,-5.1347,-49.3267,75.11,93,93,1.79,overcast clouds
338,Praya,CV,14.9215,-23.5087,73.94,78,20,18.41,few clouds
339,Otavi,NA,-19.65,17.3333,70.77,23,7,3.56,clear sky
340,Wenling,CN,28.3669,121.36,48.9,74,0,8.9,clear sky
341,Sorong,ID,-0.8833,131.25,83.12,79,100,6.51,overcast clouds
342,Rodopolis,GR,41.2578,22.9983,55.2,97,100,10.38,overcast clouds
343,Usinsk,RU,65.9939,57.5281,9.21,95,100,13.65,light snow
344,Grindavik,IS,63.8424,-22.4338,37.35,60,75,18.41,broken clouds
345,Saint Pete Beach,US,27.7253,-82.7412,71.26,83,83,5.44,broken clouds
346,Vao,NC,-22.6667,167.4833,78.39,76,0,5.21,clear sky
347,Kenora,CA,49.8167,-94.4337,-2.81,77,40,8.05,scattered clouds
